Adam,aabdelrh@gmail.com,"{""cell""=>403}",db15d9e5-1cb4-417c-a3c8-9c859f2de4f12016-01-12 06:13:15 UTC
Adam,e,"{:cell=>""403-991-1942""}",1eefc84b-5f49-4bb6-a72a-0f0f2a53e27d2016-01-12 06:14:45 UTC
A,a@gmail.com,"{:home=>""444-555-3124""}",c3b328e1-c3c5-4873-94cd-08ce23e786e42016-01-12 06:23:47 UTC
B,b@gmail.com,"{:work=>""444-555-3126""}",775ac75e-aa1c-4796-a91c-23c8aa1158812016-01-12 06:24:09 UTC
C,c@gmail.com,"{:home=>""444-555-3127""}",735f924c-74f3-4d30-964f-b47b60fa92432016-01-12 06:24:26 UTC
D,d@gmail.com,"{:home=>""444-555-3123""}",6c6f9d64-74c0-45ab-9c9d-7ba9335a642a2016-01-12 06:24:42 UTC
Ad,ad@gmail.com,"{:""444-555-1111""=>""11111111""}",a21a4b4d-9cd5-4329-be5d-39bfe72da4da2016-01-12 06:24:59 UTC
A,a,"{:a=>""a""}",05cb9eb0-45fe-48c7-aedc-9ef88bfe0f8c2016-01-12 06:25:04 UTC
B,b,"{:b=>""b""}",62284437-65de-42ca-8f9c-b42e4a5087152016-01-12 06:25:08 UTC
C,c,"{:c=>""c""}",2844e609-abb0-4771-a8b0-f414387b45e32016-01-12 06:25:11 UTC
